Nr,game_system,name,Beschreibung,Quelle,source_id,page_number,bonus,stufe,ap,Art,Zauberdauer,Reichweite,Wirkungsziel,Wirkungsbereich,Wirkungsdauer,Ursprung,Category,learning_category,Agens,Reagens,Material (Kosten)
151,Midgard,Thursenstein,,Ark,2,,,9,6,Geste,10 sec,Berührung,Umgebung,1 Objekt,10 sec,dr,Formen,Spruch,Erde,Erde,"""Zauberkiesel"""
152,Midgard,Tierisches Handeln,,Ark,2,,,9,6 je Wesen,Geste,20 sec,30 m,Geist,1-3 Wesen,var,dä,Beherrschen,Spruch,Wasser,Luft,Tierblutmischung (50 GS)
153,Midgard,Tiersprache,,Ark,2,,,7,4,Wort,20 sec,15 m,Körper,Zauberer,2 min,dr,Erkennen,Spruch,Wasser,Luft,0
154,Midgard,Todeshauch,,Ark,2,,,5,3,Geste,Augenblick,0 m,Umgebung,bis zu 18 m Umkreis,1 min,dä,Erschaffen,Spruch,Eis,Wasser,Fliegenpilzasche (1 GS)
155,Midgard,Todeskeule,,Ark,2,,,6,3,Geste,10 sec,Berührung,Umgebung,1 Objekt,2 min,dä,Formen,Spruch,Eis,Erde,"""Oberschenkelknochen"""
156,Midgard,Todeszauber,,Ark,2,,,11,1 je Schadenspunkt,Wort,20 sec,30 m,Körper,1 Wesen,0,dä,Zerstören,Spruch,Eis,Holz,0
157,Midgard,Torwandeln,,Ark,2,,,8,4,Geste,10 min,Berührung,Umgebung,30 cm,1 min,el,Formen,Spruch,Magan,Holz,0
158,Midgard,Umkehrschild,,Ark,2,,,9,6 je Seite,Geste,30 sec,-,Umgebung,Zauberer,2 min,dä,Erschaffen,Spruch,Metall,Magan,versilberte Drachenschuppe (100 GS)
159,Midgard,Ungezieferplage,,Ark,2,,,4,2,Wort,30 sec,0 m,Geist,1 Schwarm,2 min,dä,Beherrschen,Spruch,Magan,Wasser,0
160,Midgard,Unsichtbarkeit,,Ark,2,,,4,4,Wort,10 sec,-,Körper,Zauberer,"10 min, k",dä,Verändern,Spruch,Luft,Metall,0
161,Midgard,Verdorren,,Ark,2,,,6,5,Geste,10 sec,Berührung,Körper,1 Wesen,∞,sm,Verändern,Spruch,Eis,Erde,0
162,Midgard,Vereisen,,Ark,2,,,9,7,Geste,10 sec,Berührung,Körper,1 Wesen,∞,dä,Verändern,Spruch,Eis,Erde,0
163,Midgard,Vergiften,,Ark,2,,,4,2,Wort,30 sec,3 m,Körper,1 Wesen,0,sm,Zerstören,Spruch,Eis,Erde,0
164,Midgard,Vergrößern,,Ark,2,,,5,6,Geste,20 sec,Berührung,Umgebung,1 Objekt,10 min,dä,Formen,Spruch,Magan,Metall,0
165,Midgard,Verkleinern,,Ark,2,,,5,6,Geste,20 sec,Berührung,Umgebung,1 Objekt,10 min,dä,Formen,Spruch,Magan,Metall,0
166,Midgard,Verlangsamen,,Ark,2,,,4,2,Geste,10 sec,15 m,Körper,1 Wesen,1 min,dä,Verändern,Spruch,Metall,Erde,Blei (20 GS)
167,Midgard,Vermehren,,Ark,2,,,1,2,Geste,10 sec,15 m,Umgebung,1 Objekt,30 min,dr,Formen,Spruch,Magan,Metall,0
168,Midgard,Verschmutzen,,Ark,2,,,2,2,Geste,10 sec,15 m,Umgebung,1 Objekt,0,dr,Formen,Spruch,Magan,Metall,0
169,Midgard,Versetzen,,Ark,2,,,8,2 je Wesen,Geste,20 sec,500 m,Umgebung,1-6 Wesen,24 h,dä,Bewegen,Spruch,Magan,Metall,Phosphorkreide (200 GS)
170,Midgard,Versteinern,,Ark,2,,,10,8,Geste,10 sec,Berührung,Körper,1 Wesen,∞,sm,Verändern,Spruch,Erde,Erde,0
171,Midgard,Vertieren,,Ark,2,,,5,3,Geste,10 sec,30 m,Geist,1 Wesen,10 min,dä,Beherrschen,Spruch,Wasser,Luft,Tierspeichelmischung (20 GS)
172,Midgard,Verursachen von Krankheit,,Ark,2,,,4,2,Geste,Augenblick,Berührung,Körper,1 Wesen,3W6 Tage,dä,Verändern,Spruch,Eis,Erde,0
173,Midgard,Verursachen schw. Wunden,,Ark,2,,,5,3,Geste,Augenblick,Berührung,Körper,1 Wesen,0,sm,Zerstören,Spruch,Eis,Erde,0
174,Midgard,Verursachen von Wunden,,Ark,2,,,3,1,Geste,Augenblick,Berührung,Körper,1 Wesen,0,sm,Zerstören,Spruch,Eis,Erde,0
175,Midgard,Verwandlung,,Ark,2,,,11,mind. 9,Geste,30 sec,Berührung,Körper,1 Wesen,∞,dä,Verändern,Spruch,Holz,Erde,"""Kern des Großen Kürbis"" (100 GS)"
176,Midgard,Verwirren,,Ark,2,,,2,1 je Grad,Geste,Augenblick,30 m,Geist,1 Wesen,10 sec,dä,Beherrschen,Spruch,Magan,Feuer,0
177,Midgard,Verwünschen,,Ark,2,,,4,2 je Wesen,Wort,10 sec,15 m,Körper,bis zu 6 Wesen,30 min,dä,Verändern,Spruch,Luft,Wasser,0
178,Midgard,Verzweiflung,,Ark,2,,,8,5,Geste,10 sec,Berührung,Geist,1 Wesen,1 h,dä,Verändern,Spruch,Magan,Luft,in Alkohol gelöste Kräutermischung (50 GS)
179,Midgard,Wachsen,,Ark,2,,,6,6,Geste,20 sec,Berührung,Körper,1 Wesen,10 min,dä,Verändern,Spruch,Holz,Erde,0
180,Midgard,Wahnsinn,,Ark,2,,,9,7,Geste,20 sec,15 m,Geist,1 Wesen,∞,dä,Zerstören,Spruch,Magan,Luft,Birkenrinde und Blüten des Wahnsinnkrautes (50 GS)
181,Midgard,Wahrsehen,,Ark,2,,,9,6,Geste,20 sec,15 m,Geist,3 m Umkreis,10 min,gö,Erkennen,Spruch,Magan,Magan,vierblättriger Klee (10 GS)
182,Midgard,Wandwandeln,,Ark,2,,,9,6,Geste,10 min,Berührung,Umgebung,-,1 min,el,Formen,Spruch,Magan,Erde,0
183,Midgard,Warnung,,Ark,2,,,3,2,Geste,10 sec,0 m,Geist,15 m Umkreis,10 min,dä,Erkennen,Spruch,Luft,Eis,Einhornhaar und Espenholz (50 GS)
184,Midgard,Wasseratmen,,Ark,2,,,3,2,Geste,10 sec,Berührung,Körper,1 Wesen,8 h,el,Verändern,Spruch,Luft,Wasser,0
185,Midgard,Wasserlauf,,Ark,2,,,5,3,Gedanke,20 sec,-,Körper,Zauberer,10 min,el,Bewegen,Spruch,Wasser,Erde,0
186,Midgard,Wassermeisterschaft,,Ark,2,,,10,6,Geste,20 sec,-,Umgebung,1 Wesen/Objekt,1 h,el,Bewegen,Spruch,Wasser,Wasser,Perle (100 GS)
187,Midgard,Wasserstrahl,,Ark,2,,,8,4,Geste,20 sec,5 m,Umgebung,Strahl,"1 min, k",el,Erschaffen,Spruch,Wasser,Wasser,Riesenkrakentrichter (100 GS)
188,Midgard,Wasserwandlung,,Ark,2,,,7,4,Geste,20 sec,200 m,Umgebung,bis zu 10 m³,var,el,Formen,Spruch,Eis,Wasser,reines Eis (50 GS)
189,Midgard,Windmeisterschaft,,Ark,2,,,8,4,Geste,20 sec,0 m,Umgebung,1 km Umkreis,1 h,el,Bewegen,Spruch,Luft,Luft,Sturmvogelfedern (10 GS)
190,Midgard,Windstoß,,Ark,2,,,2,1,Geste,Augenblick,0 m,Umgebung,30 m Kegel,10 sec,el,Bewegen,Spruch,Luft,Luft,0
191,Midgard,Wirbelwind,,Ark,2,,,12,9,Geste,30 sec,0 m,Umgebung,3-6 m Umkreis,"2 min, k",el,Bewegen,Spruch,Luft,Luft,0
192,Midgard,Zauberauge,,Ark,2,,,8,4,Geste,20 sec,500 m,Umgebung,-,"30 min, k",dä,Bewegen,Spruch,Luft,Feuer,Auge eines Toten (50 GS)
193,Midgard,Zauberhand,,Ark,2,,,8,4,Geste,20 sec,50 m,Umgebung,1 Wesen,"1 min, k",dä,Formen,Spruch,Erde,Luft,Wachspuppe (20 GS)
194,Midgard,Zauberschild,,Ark,2,,,7,4 je Seite,Geste,20 sec,-,Umgebung,Zauberer,2 min,dä,Erschaffen,Spruch,Metall,Magan,Drachenschuppe (100 GS)
195,Midgard,Zauberschlaf,,Ark,2,,,8,6 je Wesen,Geste,10 sec,30 m,Körper,bis zu 6 Wesen,24 h,dä,Beherrschen,Spruch,Magan,Wasser,Lotusblütenstaub und Blutrosendorn (20 GS)
196,Midgard,Zauberschloss,,Ark,2,,,2,1,Geste,10 sec,Berührung,Umgebung,1 Objekt,12 h,dä,Bewegen,Spruch,Metall,Holz,Silberschlüssel (50 GS)
197,Midgard,Zauberschlüssel,,Ark,2,,,3,2,Geste,10 sec,Berührung,Umgebung,1 Objekt,0,dä,Bewegen,Spruch,Magan,Holz,Springwurzspan (50 GS)
198,Midgard,Zauberschmiede,,Ark,2,,,5,3-9,Geste,1 min,Berührung,Umgebung,1 Objekt,10 min,dä,Formen,Spruch,Magan,Metall,"""Waffe aus Alchimistenmetall"""
199,Midgard,Zauberstimme,,Ark,2,,,3,2,Geste,10 min,50 m,Umgebung,-,12 h,dä,Erschaffen,Spruch,Magan,Luft,Papageienzunge (20 GS)
200,Midgard,Zauberwirklichkeit,,Ark,2,,,12,9,Geste,3 h,50 m,Geist,6 m Umkreis,30 min,dä,Beherrschen,Spruch,Magan,Feuer,"Blütenstaub, Essenzen, Edelmetallsplitter (200 GS)"
201,Midgard,Zauberzunge,,Ark,2,,,7,4,Geste,1 min,-,Geist,Zauberer,30 min,dä,Erkennen,Spruch,Luft,Luft,Papageienhirn und -zunge (50 GS)
202,Midgard,Zielsuche,,Ark,2,,,5,2,Geste,10 sec,Berührung,Umgebung,1 Objekt,10 min,dr,Formen,Spruch,Luft,Holz,0
203,Midgard,Zweite Haut,,Ark,2,,,8,var,Gedanke,Augenblick,-,Körper,Zauberer,10 min,dä,Zerstören,Spruch,Erde,Magan,0
204,Midgard,Zwiesprache,,Ark,2,,,2,1,Wort,Augenblick,500 m,Körper,Zauberer,"10 min, k",dä,Erkennen,Spruch,Feuer,Luft,0
,,,,,,,,,,,,,,,,,,,,,
205,Midgard,Allheilung,,Ark,2,,,9,6,Geste,30 min,Berührung,Körper,1 Wesen,0,gö,Erschaffen,Wundertat,Holz,Erde,0
206,Midgard,Arm der Götter,,Ark,2,,,3,2,Geste,10 sec,-,Körper,Zauberer,2 min,gö,Verändern,Wundertat,Metall,Holz,0
207,Midgard,Austreibung des Bösen,,Ark,2,,,4,5,Wort,10 sec,15 m,Körper,1 Wesen,0,gö,Bewegen,Wundertat,Magan,Feuer,0
208,Midgard,Bannen von Dunkelheit,,Ark,2,,,2,1,Wort,Augenblick,0 m,Umgebung,9 m Umkreis,10 min,gö,Erschaffen,Wundertat,Feuer,Feuer,0
209,Midgard,Bannen von Finsterwerk,,Ark,2,,,4,4,Wort,10 sec,15 m,Umgebung,1 Wesen/Objekt,0,gö,Zerstören,Wundertat,Magan,Magan,0
210,Midgard,Bannen von Gift,,Ark,2,,,4,4,Wort,10 sec,3m,Körper,1 Wesen,0,dr,Zerstören,Wundertat,Holz,Eis,0
211,Midgard,Beruhigen,,Ark,2,,,5,1 je Grad,Wort,10 sec,0 m,Geist,15 m Umkreis,0,gö,Beherrschen,Wundertat,Luft,Wasser,0
212,Midgard,Blutmeisterschaft,,Ark,2,,,2,1 + 1 je Wunde,Gedanke,10 sec,-,Körper,Zauberer,60 min,gö,Verändern,Wundertat,Erde,Holz,0
213,Midgard,Erheben der Toten,,Ark,2,,,12,alle,Wort,6 h,1 m,Körper,1 Wesen,0,gö,Erschaffen,Wundertat,Luft,Holz,0
214,Midgard,Erholung,,Ark,2,,,4,4,Geste,20 sec,Berührung,Körper,1 Wesen,0,gö,Erschaffen,Wundertat,Luft,Feuer,0
215,Midgard,Erkennen der Aura,,Ark,2,,,2,1,Gedanke,Augenblick,0 m,Geist,30 m Kegel,0,gö,Erkennen,Wundertat,Luft,Luft,0
216,Midgard,Erkennen von Besessenheit,,Ark,2,,,3,2,Gedanke,10 sec,0 m,Geist,30 m Kegel,10 sec,gö,Erkennen,Wundertat,Luft,Feuer,0
217,Midgard,Erkennen von Krankheit,,Ark,2,,,2,1,Gedanke,10 min,Berührung,Geist,1 Wesen,0,dr,Erkennen,Wundertat,Luft,Eis,0
218,Midgard,Goldene Wehr,,Ark,2,,,5,3,Geste,1 min,Berührung,Umgebung,1 Objekt,10 min,gö,Formen,Wundertat,Luft,Metall,"""geweihte Waffe"""
219,Midgard,Gottesgabe,,Ark,2,,,5,4,Geste,1 min,0 m,Körper,Zauberer,10 min,gö,Verändern,Wundertat,Luft,Wasser,0
220,Midgard,Göttliche Eingebung,,Ark,2,,,8,4,Gedanke,30 min,-,Geist,Zauberer,10 min,gö,Erkennen,Wundertat,Luft,Luft,0
221,Midgard,Göttlicher Blitz,,Ark,2,,,5,3,Geste,10 sec,30 m,Umgebung,Strahl,"2 min, k",gö,Erschaffen,Wundertat,Luft,Feuer,0
222,Midgard,Göttlicher Schirm,,Ark,2,,,4,2,Geste,10 sec,0 m,Umgebung,3 m Umkreis,"2 min, k",gö,Zerstören,Wundertat,Metall,Magan,0
223,Midgard,Göttlicher Schutz v. d. Bösen,,Ark,2,,,1,2,Wort,10 min,-,Körper,Zauberer,1 h,gö,Verändern,Wundertat,Luft,Wasser,0
224,Midgard,Göttlicher Schutz vor Magie,,Ark,2,,,5,3 je Person,Wort,5 min,0 m,Körper,6 m Umkreis,1 h,gö,Verändern,Wundertat,Metall,Wasser,0
225,Midgard,Handauflegen,,Ark,2,,,2,1,Geste,10 sec,Berührung,Körper,1 Wesen,0,gö,Erschaffen,Wundertat,Luft,Feuer,0
226,Midgard,Heilen schwerer Wunden,,Ark,2,,,6,4,Geste,10 min,Berührung,Körper,1 Wesen,0,gö,Erschaffen,Wundertat,Holz,Erde,0
227,Midgard,Heilen von Krankheit,,Ark,2,,,4,2,Geste,10 min,Berührung,Körper,1 Wesen,0,gö,Zerstören,Wundertat,Holz,Eis,0
228,Midgard,Heilen von Wunden,,Ark,2,,,4,3,Geste,1 min,Berührung,Körper,1 Wesen,0,gö,Erschaffen,Wundertat,Luft,Erde,0
229,Midgard,Heiliger Zorn,,Ark,2,,,2,2,Gedanke,Augenblick,-,Körper,Zauberer,2 min,gö,Verändern,Wundertat,Luft,Erde,0
230,Midgard,Heiliges Wort,,Ark,2,,,7,6,Wort,10 sec,0 m,Körper,9 m Umkreis,var,gö,Zerstören,Wundertat,Metall,Magan,0
231,Midgard,Himmlicher Beschützer,,Ark,2,,,4,3,Geste,1 min,Berührung,Umgebung,1 Wesen,bis zu 10 min,gö,Bewegen,Wundertat,Luft,Erde,0
232,Midgard,Himmlicher Helfer,,Ark,2,,,4,3-9,Wort,10 sec,2 km,Geist,1-10 Wesen,10 min,gö,Beherrschen,Wundertat,Magan,Wasser,0
233,Midgard,Reinigen,,Ark,2,,,1,1,Geste,10 min,1 m,Umgebung,1 kg,0,gö,Zerstören,Wundertat,Holz,Eis,0
234,Midgard,Rüstung der Rechtschaffenen,,Ark,2,,,8,5,Geste,20 sec,Berührung,Körper,Zauberer,2 min,gö,Verändern,Wundertat,Luft,Erde,0
235,Midgard,Schützende Hülle,,Ark,2,,,2,1 + 1 je 10 sec,Wort,10 sec,-,Körper,Zauberer,"var, k",gö,Erschaffen,Wundertat,Feuer,Holz,0
236,Midgard,Schwingenkeule,,Ark,2,,,2,1,Geste,10 sec,Berührung,Umgebung,1 Objekt,2 min,gö,Formen,Wundertat,Luft,Holz,"""Wurfkeule aus Holz"""
237,Midgard,Seelenheilung,,Ark,2,,,4,2,Wort,10 min,3 m,Geist,1 Wesen,0,gö,Verändern,Wundertat,Holz,Luft,0
238,Midgard,Segnen,,Ark,2,,,3,2,Geste,1 min,Berührung,Körper,1 Wesen,10 min,gö,Verändern,Wundertat,Luft,Wasser,0
239,Midgard,Strahlender Panzer,,Ark,2,,,4,2,Geste,10 sec,Berührung,Umgebung,Zauberer,2 min,gö,Formen,Wundertat,Feuer,Metall,0
240,Midgard,Verfluchen,,Ark,2,,,3,2,Wort,10 sec,15 m,Körper,1 Wesen,10 min,gö,Verändern,Wundertat,Luft,Wasser,0
241,Midgard,Vision,,Ark,2,,,6,alle (mind. 3),Geste,6 h,-,Geist,Zauberer,1 h,gö,Erkennen,Wundertat,Wasser,Luft,"""Lebensmittel, Kräute, Pulver"" (20 GS)"
242,Midgard,Waffensegen,,Ark,2,,,5,3-9,Geste,1 min,Berührung,Umgebung,1 Objekt,10 min,gö,Formen,Wundertat,Luft,Metall,0
243,Midgard,Waffenwirbel,,Ark,2,,,6,6,Wort,10 sec,-,Körper,Zauberer,1 min,gö,Verändern,Wundertat,Luft,Erde,0
244,Midgard,Wagemut,,Ark,2,,,3,2,Geste,10 sec,15 m,Geist,1 Wesen,2 min,gö,Verändern,Wundertat,Luft,Feuer,0
245,Midgard,Wort des Lebens,,Ark,2,,,8,6,Wort,10 sec,0 m,Körper,9 m Umkreis,var,gö,Zerstören,Wundertat,Holz,Eis,0
246,Midgard,Wort der Trauer,,Ark,2,,,8,6,Wort,10 sec,0 m,Geist,9 m Umkreis,var,gö,Zerstören,Wundertat,Luft,Eis,0
,,,,,,,,,,,,,,,,,,,,,
247,Midgard,Bärenwut,,Ark,2,,,2,2,Geste,Augenblick,-,Körper,Zauberer,2 min,dr,Verändern,Dweomerzauber,Holz,Erde,"""eigenes Blut"""
248,Midgard,Bannen von Gift,,Ark,2,,,4,4,Wort,10 sec,3 m,Körper,1 Wesen,0,dr,Zerstören,Dweomerzauber,Holz,Eis,-
249,Midgard,Baum,,Ark,2,,,2,1,Gedanke,Augenblick,-,Körper,Zauberer,90 min,dr,Verändern,Dweomerzauber,Holz,Erde,-
250,Midgard,Elfenfeuer,,Ark,2,,,5,3,Geste,10 sec,30 m,Umgebung,Strahl,"2 min, k",dr,Erschaffen,Dweomerzauber,Holz,Holz,Turmalin (50 GS)
251,Midgard,Elfenklinge,,Ark,2,,,5,2,Geste,10 sec,Berührung,Umgebung,1 Objekt,10 min,dr,Formen,Dweomerzauber,Holz,Metall,"""Waffe mit Elfenstahlklinge"""
252,Midgard,Entgiften,,Ark,2,,,4,2,Wort,30 sec,3 m,Umgebung,1 Objekt,0,dr,Zerstören,Dweomerzauber,Holz,Eis,-
253,Midgard,Erkennen von Gift,,Ark,2,,,4,2,Gedanke,Augenblick,15 m,Geist,1 m²,0,dr,Erkennen,Dweomerzauber,Holz,Eis,-
254,Midgard,Erkennen von Krankheit,,Ark,2,,,2,1,Gedanke,10 min,Berührung,Geist,1 Wesen,0,dr,Erkennen,Dweomerzauber,Holz,Eis,-
255,Midgard,Fährtendurft,,Ark,2,,,3,1 je Wesen,Geste,1 min,Berührung,Körper,1-6 Wesen,30 min,dr,Verändern,Dweomerzauber,Holz,Erde,Tierkot (1 GS)
256,Midgard,Feenfluch,,Ark,2,,,5,2,Geste,10 sec,15 m,Körper,1 Wesen,∞,dr,Verändern,Dweomerzauber,Holz,Erde,-
257,Midgard,Feenschutz,,Ark,2,,,6,6,Geste,10 min,30 m,Geist,bis zu 7 Wesen,8 h,dr,Verändern,Dweomerzauber,Holz,Luft,"Zweige von Eiche, Esche und Weißdorn (2 GS), ""Stück Kaltes Eisen"""
258,Midgard,Feenschwert,,Ark,2,,,6,4,Geste,10 sec,0 m,Umgebung,-,2 min,dr,Erschaffen,Dweomerzauber,Holz,Holz,Turmalin (50 GS)
259,Midgard,Feuerbienen,,Ark,2,,,6,4,Geste,10 sec,50 m,Umgebung,Strahl,"2 min, k",dr,Erschaffen,Dweomerzauber,Holz,Holz,Turmalin (50 GS)
260,Midgard,Grüne Hand,,Ark,2,,,9,6,Geste,20 sec,Berührung,Umgebung,Pflanzen,2 min,dr,Formen,Dweomerzauber,Holz,Holz,"pulverisierte Wurzeln, Frühlingsregen (20 GS)"
261,Midgard,Kraftspende,,Ark,2,,,1,1,Geste,Augenblick,30 m,Körper,1 Wesen,0,dr,Bewegen,Dweomerzauber,Holz,Feuer,-
262,Midgard,Laufen wie der Wind,,Ark,2,,,5,3,Geste,10 sec,-,Körper,Zauberer,10 min,dr,Verändern,Dweomerzauber,Holz,Erde,-
263,Midgard,Lebensflammen,,Ark,2,,,3,1 je Wesen,Geste,10 sec,Berührung,Umgebung,bis zu 6 Wesen,2 min,dr,Erschaffen,Dweomerzauber,Holz,Holz,Zunder (1 SS)
264,Midgard,Lebenskeule,,Ark,2,,,5,2,Geste,10 sec,Berührung,Umgebung,1 Objekt,2 min,dr,Formen,Dweomerzauber,Holz,Holz,"""Waffe aus Holz"""
265,Midgard,Lebensrettung,,Ark,2,,,5,3,Geste,1 min,Berührung,Körper,1 Wesen,0,dr,Erschaffen,Dweomerzauber,Holz,Erde,-
266,Midgard,Lebensstärkung,,Ark,2,,,4,4,Geste,20 sec,Berührung,Körper,1 Wesen,30 min,dr,Erschaffen,Dweomerzauber,Holz,Feuer,-
267,Midgard,Lindern von Entkräftung,,Ark,2,,,7,5,Geste,10 min,Berührung,Körper,1 Wesen,0,dr,Erschaffen,Dweomerzauber,Holz,Feuer,-
268,Midgard,Lindern von Krankheit,,Ark,2,,,3,2,Geste,10 min,Berührung,Körper,1 Wesen,0,dr,Zerstören,Dweomerzauber,Holz,Eis,-
269,Midgard,Linienlesen,,Ark,2,,,1,1,Gedanke,Augenblick,bis zu 5 km,Geist,Zauberer,10 sec,dr,Erkennen,Dweomerzauber,Holz,Holz,-
270,Midgard,Linienwanderung,,Ark,2,,,8,4,Gedanke,20 sec,-,Körper,Zauberer,1 h,dr,Bewegen,Dweomerzauber,Luft,Feuer,-
271,Midgard,Mutlosigkeit,,Ark,2,,,2,2 je Wesen,Wort,Augenblick,30 m,Geist,bis zu 10 Wesen,10 min,dr,Beherrschen,Dweomerzauber,Holz,Wasser,-
272,Midgard,Naturgeist rufen,,Ark,2,,,4,3,Geste,5 min,500 m,Geist,-,2 min,dr,Beherrschen,Dweomerzauber,Holz,Holz,"""Weißdornpfeife"" bzw. ""Schamanentrommel"""
273,Midgard,Rindenhaut,,Ark,2,,,4,2,Geste,10 sec,Berührung,Körper,1 Wesen,10 min,dr,Verändern,Dweomerzauber,Holz,Erde,Eichenrinde (2 SS)
274,Midgard,Ring des Lebens,,Ark,2,,,5,4,Geste,Augenblick,0 m,Umgebung,bis zu 18 m Umkreis,1 min,dr,Zerstören,Dweomerzauber,Holz,Eis,Samen des Lebenskrautes (5 GS)
275,Midgard,Schlachtenwahnsinn,,Ark,2,,,8,6,Geste,10 sec,-,Körper,Zauberer,1 min,dr,Verändern,Dweomerzauber,Holz,Erde,-
276,Midgard,Schnellheilung,,Ark,2,,,6,4,Geste,10 min,Berührung,Körper,1 Wesen,0,dr,Erschaffen,Dweomerzauber,Holz,Erde,-
277,Midgard,Schutzgeist,,Ark,2,,,5,3,Geste,10 sec,-,Umgebung,Zauberer,bis zu 30 min,dr,Bewegen,Dweomerzauber,Luft,Erde,-
278,Midgard,Schwarm,,Ark,2,,,4,2,Wort,10 sec,50 m,Umgebung,-,"1 min, k",dr,Bewegen,Dweomerzauber,Holz,Erde,-
279,Midgard,Tiere rufen,,Ark,2,,,5,3-9,Wort,10 sec,2 km,Geist,1-10 Wesen,10 min,dr,Beherrschen,Dweomerzauber,Holz,Wasser,-
280,Midgard,Tiergestalt,,Ark,2,,,9,6,Geste,20 sec,-,Körper,Zauberer,∞,dr,Verändern,Dweomerzauber,Wasser,Erde,"Fellstück, Feder usw. (1 GS)"
281,Midgard,Tierischer Helfer,,Ark,2,,,4,2 je Grad,Wort,10 sec,30 m,Geist,1 Wesen je Grad,mind. 2 h,dr,Beherrschen,Dweomerzauber,Holz,Wasser,-
282,Midgard,Wandeln wie der Wind,,Ark,2,,,2,1,Geste,Augenblick,0 m,Umgebung,1 m Umkreis,10 min,dr,Formen,Dweomerzauber,Holz,Erde,Flugsamen verschiedener Pflanzen (5 SS)
283,Midgard,Wittern,,Ark,2,,,3,2,Geste,10 sec,-,Körper,Zauberer,30 min,dr,Verändern,Dweomerzauber,Holz,Erde,Spürhundhaare (5 GS)
284,Midgard,Wundersame Tarnung,,Ark,2,,,2,1,Gedanke,Augenblick,-,Umgebung,Zauberer,30 min,dr,Formen,Dweomerzauber,Holz,Erde,-
285,Midgard,Zähmen,,Ark,2,,,2,1 je Grad,Wort,10 sec,30 m,Geist,1 Wesen je Grad,2 h,dr,Beherrschen,Dweomerzauber,Holz,Wasser,-
286,Midgard,Zaubersprung,,Ark,2,,,3,2,Geste,10 sec,-,Körper,Zauberer,10 sec,dr,Verändern,Dweomerzauber,Holz,Erde,-
287,Midgard,Zeichen des Lebens,,Ark,2,,,8,6,Geste,20 sec,0,Körper,9 m Umkreis,10 min,dr,Zerstören,Dweomerzauber,Holz,Eis,-
,,,,,,,,,,,,,,,,,,,,,
288,Midgard,Das Lied des Erinnerns,,Ark,2,,,7,2,-,1 min,-,Geist,15 m Umkreis,0,-,Verändern,Zauberlied,Magan,Luft,"Harfe oder Laute, Stimme"
289,Midgard,Das Lied der Feier,,Ark,2,,,1,0,-,1 min,-,Geist,30 m Umkreis,30 min,-,Verändern,Zauberlied,Luft,Luft,"Flöte, Harfe oder Laute"
290,Midgard,Das Lied des Fesselns,,Ark,2,,,3,2,-,Augenblick,-,Geist,30 m Umkreis,3 min,-,Beherrschen,Zauberlied,Luft,Luft,"Flöte, Harfe oder Laute"
291,Midgard,Das Lied des Friedens,,Ark,2,,,10,2,-,1 min,-,Geist,15 m Umkreis,10 min,-,Beherrschen,Zauberlied,Metall,Wasser,"Harfe oder Laute, Stimme"
292,Midgard,Das Lied des Grauens,,Ark,2,,,9,4,-,1 min,-,Geist,200 m Kegel,1 min,-,Beherrschen,Zauberlied,Eis,Wasser,"Flöte, Stimme"
293,Midgard,Das Lied der Liebe,,Ark,2,,,7,0,-,1 min,15 m,Geist,1 Wesen,∞,-,Beherrschen,Zauberlied,Wasser,Wasser,"Harfe oder Laute, Stimme"
294,Midgard,Das Lied der Lockung,,Ark,2,,,8,2,-,1 min,-,Geist,200 m Kegel,1 min,-,Beherrschen,Zauberlied,Magan,Wasser,Flöte
295,Midgard,Das Lied der Ruhe,,Ark,2,,,3,2,-,1 min,-,Geist,30 m Umkreis,2 h,-,Beherrschen,Zauberlied,Wasser,Wasser,"Flöte, Harfe oder Laute"
296,Midgard,Das Lied des Spottes,,Ark,2,,,3,2,-,3 min,-,Geist,30 m Umkreis,∞,-,Verändern,Zauberlied,Luft,Luft,"Harfe oder Laute, Stimme"
297,Midgard,Das Lied der Tanzlust,,Ark,2,,,5,2,-,1 min,-,Geist,30 m Umkreis,1 min,-,Beherrschen,Zauberlied,Magan,Erde,Flöte
298,Midgard,Das Lied der Tapferkeit,,Ark,2,,,1,0,-,10 min,-,Geist,15 m Umkreis,30 min,-,Verändern,Zauberlied,Luft,Luft,"Flöte, Harfe oder Laute, Stimme"
299,Midgard,Das Lied der verborgenen Kraft,,Ark,2,,,6,2,-,1 min,-,Körper,15 m Umkreis,0,-,Verändern,Zauberlied,Magan,Feuer,"Flöte, Stimme"
300,Midgard,Das Lied der Verführung,,Ark,2,,,3,2,-,1 min,5 m,Geist,1 Wesen,6 h,-,Beherrschen,Zauberlied,Wasser,Wasser,"Harfe oder Laute, Stimme"
301,Midgard,Das Lied des Vergessens,,Ark,2,,,7,2,-,1 min,-,Geist,15 m Umkreis,∞,-,Verändern,Zauberlied,Magan,Luft,"Harfe oder Laute, Stimme"
302,Midgard,Das Lied der Verzweiflung,,Ark,2,,,7,4,-,3 min,15 m,Geist,1 Wesen,30 min,-,Verändern,Zauberlied,Magan,Luft,"Flöte, Harfe oder Laute, Stimme"
303,Midgard,Das Lied des Wagemuts,,Ark,2,,,3,2,-,1 min,-,Geist,15 m Umkreis,30 min,-,Verändern,Zauberlied,Luft,Feuer,"Flöte, Harfe oder Laute, Stimme"
